name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
94017,2021-02-06,60.1,43.2,51.4,60.1,42.1,50.7,45.5,80.9,0,0,0,,0,0,23,17.6,250.5,1019,34.4,6.6,187.6,16.2,7,,2021-02-06T07:07:41,2021-02-06T17:39:42,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-07,60.6,41.3,50,60.6,40.8,49.4,44,80.8,0,0,0,,0,0,21.9,15.5,253,1015.4,39.9,7.2,171,14.8,7,,2021-02-07T07:06:42,2021-02-07T17:40:48,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-08,52.9,43.6,48.8,52.9,41.3,47.9,44.9,86.4,0,0,0,,0,0,,10.3,189,1014.8,79.6,6.9,110.5,9.5,6,,2021-02-08T07:05:41,2021-02-08T17:41:54,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-09,55.6,48.5,51.6,55.6,46.6,51.5,46.7,83.5,0,0,0,,0,0,,12.8,256.7,1016.9,75,7.6,78.8,6.8,3,,2021-02-09T07:04:39,2021-02-09T17:42:59,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-10,56.8,43.7,49.9,56.8,43.4,49.7,44.7,82.6,0,0,0,,0,0,,14.9,247.8,1019.1,49.3,8.3,184,16,7,,2021-02-10T07:03:35,2021-02-10T17:44:04,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-11,55.3,43.9,50.1,55.3,42.2,49.9,46.1,86.3,0.46,100,29.17,rain,0,0,29,17.3,176.8,1017.6,67.6,7.3,74.3,6.4,4,,2021-02-11T07:02:31,2021-02-11T17:45:09,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-12,56.7,50.8,53,56.7,50.8,53,47.8,82.5,0,0,0,,0,0,29.8,20,312.8,1017.3,67.7,8.3,185.7,16,7,,2021-02-12T07:01:24,2021-02-12T17:46:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-13,56.7,50.4,53.4,56.7,50.4,53.4,47.5,80.7,0.05,100,8.33,rain,0,0,42.5,21.6,306.8,1017.3,61.2,6.8,121.6,10.4,7,,2021-02-13T07:00:17,2021-02-13T17:47:18,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-02-14,54.8,50,52.1,54.8,45.5,51.7,45.6,78.7,0.13,100,20.83,rain,0,0,28.9,20.8,264.8,1019,79.6,6.3,85,7.3,3,,2021-02-14T06:59:08,2021-02-14T17:48:22,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-15,56,50.8,53.5,56,50.8,53.5,51,91.2,0.3,100,50,rain,0,0,29.8,18.2,231.4,1018.9,95.4,3.7,102.6,8.9,5,,2021-02-15T06:57:59,2021-02-15T17:49:26,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHAF,KSFO,72064600228,72494023234,PUGC1"
